CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI02747-2018;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;Inventa&#769 rio Colaborativo do Museu de Arqueologia de Itaipu;Ciências Sociais Aplicadas - Ciência da Informação - Teoria da Informação - Representação da Informação;Sem Vínculo (Projeto Isolado);não;DALTON LOPES MARTINS (DOCENTE - Colaborador), MARCEL FERRANTE SILVA (DOCENTE - Coordenador), RAVI FIGUEIREDO PASSOS (DOCENTE - Vice-coodernador);01/06/2018 a 30/08/2018
PI03120-2018;INSTITUTO DE MATEMATICA E ESTATISTICA;Superfícies Mínimas e de Curvatura Média Constante em Espaços  Conformemente flats;Ciências Exatas e da Terra - Matemática - Geometria e Topologia - Geometria Diferencial;Sem Vínculo (Projeto Isolado);não;MARCELO ALMEIDA DE SOUZA (DOCENTE - Coordenador);01/11/2018 a 31/12/2020
PI02946-2018;ESCOLA DE AGRONOMIA;Relação entre o preço da gasolina e a demanda por etanol hidratado e importância do preço do diesel na formação do custo do frete no Brasil;Ciências Sociais Aplicadas - Economia - Economias Agrária e dos Recursos Naturais;Sem Vínculo (Projeto Isolado);não;MARCELO DIAS PAES FERREIRA (DOCENTE - Coordenador);15/11/2018 a 15/11/2019
PI02947-2018;ESCOLA DE AGRONOMIA;Análise do Agronegócio Brasileiro;Ciências Sociais Aplicadas - Economia - Economias Agrária e dos Recursos Naturais - Economia Agrária;Sem Vínculo (Projeto Isolado);não;MARCELO DIAS PAES FERREIRA (DOCENTE - Coordenador);01/07/2018 a 31/12/2023
PV02509-2018;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;TRANSIÇÕES SUSTENTÁVEIS: ANÁLISE DAS REDES DE RELACIONAMENTOS NACIONAIS E TRANSNACIONAIS NOS EXPERIMENTOS EM ENERGIA RENOVÁVEL NO ESTADO DE GOIÁS;Ciências Sociais Aplicadas - Administração - Administração de Setores Específicos;Com Grupo de Pesquisa;não;BRUNO SOARES RIBEIRO (DISCENTE - Colaborador), LUIZ FERNANDO FELIX (DISCENTE - Colaborador), MARCELO FERREIRA TETE (DOCENTE - Coordenador);27/04/2018 a 01/11/2020
PI02837-2018;FACULDADE DE MEDICINA;EFEITOS DA INTERVENÇÃO EDUCATIVA POR DISPOSITIVO MÓVEL SOBRE EXACERBAÇÕES DA DOENÇA PULMONAR OBSTRUTIVA CRÔNICA  ENSAIO CLÍNICO RANDOMIZADO;Ciências da Saúde - Medicina - Clínica Médica - Pneumologia;Com Programa de Pós-graduação da UFG;não;KRISLAINY DE SOUSA CORRÊA (EXTERNO - Vice-coodernador), MARCELO FOUAD RABAHI (DOCENTE - Coordenador), VIVIANE ASSUNÇÃO GUIMARÃES (DISCENTE - Colaborador);08/01/2018 a 30/06/2022
PI03748-2018;INATIVO DOCENTE;O paciente informado atendido nas Unidades Básicas de Saúde de Goiânia.;Ciências da Saúde - Medicina - Clínica Médica - Cardiologia;Tipo de vínculo desconhecido;não;ADRIELLY JOICE MENDES SANTANA BRANDÃO (DISCENTE - Colaborador), ARTHUR WEIDER GOMES GARCIA (DISCENTE - Colaborador), CAIO CAETANO VASCONCELOS BARROS (DISCENTE - Colaborador), CELMO CELENO PORTO (EXTERNO - Vice-coodernador), MARCELO FOUAD RABAHI (DOCENTE - Coordenador), THAILYNE BIZINOTTO (DISCENTE - Colaborador);13/12/2018 a 31/12/2021
PI02586-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;GEOFÍSICA APLICADA AO PATRIMÔNIO GEOLÓGICO;Ciências Exatas e da Terra - Geociências - Geofísica - Geofísica Aplicada;Sem Vínculo (Projeto Isolado);não;ELISA SOARES ROCHA BARBOSA (DOCENTE - Colaborador), GUSTAVO XAVIER VILARINHO (DISCENTE - Colaborador), JOANA PAULA SANCHEZ (DOCENTE - Vice-coodernador), MARCELO HENRIQUE LEAO SANTOS (DOCENTE - Coordenador), YAOGUO LI (EXTERNO - Colaborador);26/04/2018 a 25/04/2023
PV02603-2018;UAE REJ ESTUDOS GEOGRÁFICOS;APLICAÇÃO DOS CONHECIMENTOS GEOMORFOLÓGICOS PARA A COMPREENSÃO E SOLUÇÃO DE PROBLEMAS DIVERSOS LIGADOS AO RELEVO NO MUNICÍPIO DE JATAÍ/GO;Ciências Humanas - Geografia;Com Grupo de Pesquisa;não;MARCIA CRISTINA DA CUNHA (DOCENTE - Coordenador), SIMONE MARQUES FARIA LOPES (DOCENTE - Colaborador);01/07/2018 a 31/08/2020
PV02916-2018;UAE REJ ESTUDOS GEOGRÁFICOS;ANÁLISE QUALI/QUANTITATIVA E CONSERVAÇÃO DAS ÁGUAS, SEDIMENTOS E SOLOS DA BACIA HIDROGRÁFICA DO CÓRREGO BOM SUCESSO, JATAÍ-GO.;Ciências Exatas e da Terra - Geociências - Geografia Física - Geomorfologia, Ciências Humanas - Geografia - Geografia Regional - Análise Regional;Com Grupo de Pesquisa;não;ALECIO PERINI MARTINS (DOCENTE - Vice-coodernador), ANGÉLICA FERREIRA JÚNIOR (DISCENTE - Colaborador), BRUNO JEFFERSON SOARES DE OLIVEIRA (DISCENTE - Colaborador), CLEONICE BATISTA REGIS SOARES (DISCENTE - Colaborador), CRISTINA SILVA DE OLIVEIRA (SERVIDOR - Colaborador), DAVI ANDRÉ DE LIMA (DISCENTE - Colaborador), ENIO RODOVALHO DOS SANTOS (EXTERNO - Colaborador), GUILHERME ALVES DA SILVA (DISCENTE - Colaborador), IRIA OLIVEIRA FRANCO DE ABREU (DISCENTE - Colaborador), JOAO BATISTA PEREIRA CABRAL (DOCENTE - Colaborador), LAVÍNIA SOUZA FERREIRA MORAIS (DISCENTE - Colaborador), LUAN TEODORO DA SILVA (DISCENTE - Colaborador), MARCIA CRISTINA DA CUNHA (DOCENTE - Coordenador), REGINA MARIA LOPES (DOCENTE - Colaborador), SIMONE MARQUES FARIA LOPES (DOCENTE - Colaborador), WELLMO DOS SANTOS ALVES (DISCENTE - Colaborador);01/10/2018 a 31/08/2021
PI02888-2018;UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATA;QUALIDADE MICROBIOLÓGICA DE CARNE MOÍDA BOVINA DE ESTABELECIMENTOS COM E SEM FISCALIZAÇÃO MUNICIPAL EM JATAÍ-GO;Ciências Agrárias - Medicina Veterinária - Inspeção de Produtos de Origem Animal, Ciências Agrárias - Ciência e Tecnologia de Alimentos - Ciência de Alimentos - Microbiologia de Alimentos, Ciências Agrárias - Ciência e Tecnologia de Alimentos - Ciência de Alimentos - Avaliação e Controle de Qualidade de Alimentos;Com Programa de Pós-graduação da UFG;não;ANGELICA FRANCO DE OLIVEIRA (SERVIDOR - Colaborador), ARIEL EURIDES STELLA (DOCENTE - Colaborador), CECILIA NUNES MOREIRA (DOCENTE - Colaborador), FLÁVIO BARBOSA DA SILVA (DISCENTE - Colaborador), LARISSA DE ASSIS LIMA (DISCENTE - Colaborador), MARCIA DIAS (DOCENTE - Coordenador), MILENE CRISTINA MENDES LOPES DE ALMEIDA (DISCENTE - Vice-coodernador);30/08/2018 a 30/08/2019
PI02451-2018;FACULDADE DE LETRAS;As Políticas Curriculares para Educação Básica no Brasil: Textos e Contextos;Ciências Humanas - Educação - Currículo - Currículos Específicos para Níveis e Tipos de Educação;Sem Vínculo (Projeto Isolado);não;ANA CAROLINE FAGUNDES DUPONT (DISCENTE - Colaborador), CRISTIANE SILVA BERNARDO (DISCENTE - Colaborador), KAMYLLA AMARAL TAVARES (DISCENTE - Colaborador), MARCILENE PELEGRINE GOMES (DOCENTE - Coordenador), MARIANA BESSA DOS SANTOS (DISCENTE - Colaborador), RODRIGO DAMASIO LIMA (SERVIDOR - Colaborador);01/07/2018 a 31/07/2022
PI02919-2018;ESCOLA DE AGRONOMIA;ELABORAÇÃO E CARACTERIZAÇÃO DE BEBIDA FERMENTADA DO EXTRATO DA AMÊNDOA DE BARU (Dipteryx alata Vogel) POTENCIALMENTE PROBIÓTICA COM USO DE BANANA VERDE;Ciências Agrárias - Ciência e Tecnologia de Alimentos - Ciência de Alimentos - Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares;Com Programa de Pós-graduação da UFG;não;ALLINE EMANNUELE CHAVES RIBEIRO (EXTERNO - Colaborador), ARYANE RIBEIRO OLIVEIRA (DISCENTE - Colaborador), EDUARDO VALERIO DE BARROS VILAS BOAS (EXTERNO - Colaborador), GABRIELA SILVA MENDES COUTINHO (DISCENTE - Colaborador), MARCIO CALIARI (DOCENTE - Coordenador);19/03/2018 a 19/09/2020
PI02933-2018;ESCOLA DE AGRONOMIA;CARACTERIZAÇÃO E VALORIZAÇÃO DA FÉCULA DE MANDIOCA MODIFICADA POR CALOR E UMIDADE E QUALIDADE DE BISCOITOS ELABORADOS COM SUBSTITUIÇÃO PARCIAL DE FARINHA DE TRIGO POR FARINHA DO BAGAÇO DE MANDIOCA;Ciências Agrárias - Ciência e Tecnologia de Alimentos - Ciência de Alimentos - Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares;Tipo de vínculo desconhecido;não;ALLINE EMANNUELE CHAVES RIBEIRO (EXTERNO - Colaborador), ARYANE RIBEIRO OLIVEIRA (DISCENTE - Colaborador), ÉRICA RESENDE DE OLIVEIRA (EXTERNO - Colaborador), MANOEL SOARES SOARES JUNIOR (DOCENTE - Colaborador), MARCIO CALIARI (DOCENTE - Coordenador);15/10/2018 a 31/07/2021
PI02522-2018;ESCOLA DE AGRONOMIA;DINÂMICA DA ÁGUA E DE SOLUTOS EM FUNÇÃO DO DESENVOLVIMENTO RADICULAR EM SOLOS CULTIVADOS COM CANA-DE-AÇÚCAR;Ciências Agrárias - Agronomia - Agrometeorologia, Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo - Irrigação e Drenagem, Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo - Conservação de Solo e Água;Com Programa de Pós-graduação da UFG;não;ADAO WAGNER PEGO EVANGELISTA (DOCENTE - Colaborador), DERBLAI CASAROLI (DOCENTE - Colaborador), JOSE ALVES JUNIOR (DOCENTE - Colaborador), MARCIO MESQUITA (DOCENTE - Coordenador), RAFAEL BATTISTI (DOCENTE - Colaborador), RILNER ALVES FLORES (DOCENTE - Vice-coodernador);01/05/2018 a 31/12/2020
PI02929-2018;ESCOLA DE AGRONOMIA;Necessidades Hídricas e Coeficiente de Cultivo Simples do Grão-de-Bico Cultivado no Cerrado Goiano;Ciências Agrárias - Agronomia - Fitotecnia - Manejo e Tratos Culturais, Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo - Irrigação e Drenagem;Sem Vínculo (Projeto Isolado);não;ADAO WAGNER PEGO EVANGELISTA (DOCENTE - Colaborador), DERBLAI CASAROLI (DOCENTE - Colaborador), JOSE ALVES JUNIOR (DOCENTE - Colaborador), MARCIO MESQUITA (DOCENTE - Coordenador), RAFAEL BATTISTI (DOCENTE - Colaborador), WARLEY MARCOS NASCIMENTO (EXTERNO - Vice-coodernador);01/10/2018 a 31/12/2021
PI02478-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;DETALHAMENTO E SUB-COMPARTIMENTACAO DA ESTRUTURACAO TECTONICA DA FAIXA BRASILIA;Ciências Exatas e da Terra - Geociências - Geologia - Geologia Regional, Ciências Exatas e da Terra - Geociências - Geologia - Cartografia Geológica;Tipo de vínculo desconhecido;não;MARCELO HENRIQUE LEAO SANTOS (DOCENTE - Colaborador), MARCO ANTONIO CACADOR MARTINS FERREIRA (DOCENTE - Coordenador), SERGIO WILIANS DE OLIVEIRA RODRIGUES (DOCENTE - Colaborador), SILVENCLER BATISTA BEZERRA (DISCENTE - Colaborador);01/08/2018 a 01/08/2023
PI03210-2018;UAE - DE ENGENHARIA - CATALÃO;ENGENHARIA E DESENVOLVIMENTO DE PRODUTOS E PROCESSOS INDUSTRIAIS DE BASE TECNOLÓGICA COM USO DA AUTOMAÇÃO DE SISTEMAS;Engenharias - Engenharia Elétrica - Eletrônica Industrial, Sistemas e Controles Eletrônicos - Automação Eletrônica de Processos Elétricos e Industriais, Engenharias - Engenharia Mecânica - Projetos de Máquinas - Máquinas, Motores e Equipamentos, Engenharias - Engenharia de Produção - Engenharia do Produto - Desenvolvimento de Produto;Com Programa de Pós-graduação da UFG;não;ANDRE ALVES DE RESENDE (DOCENTE - Colaborador), ELOISA ANGÉLICA SILVA GARCIA (DISCENTE - Colaborador), HIGOR LUIZ SOUSA DE LISBOA (DISCENTE - Colaborador), IAGO FERREIRA LIMA (DISCENTE - Colaborador), LEANDRO DE LIMA RAMALDES (DISCENTE - Colaborador), LUCAS FAGUNDES VAZ (SERVIDOR - Colaborador), MARCO PAULO GUIMARAES (DOCENTE - Coordenador), RICARDO RIBEIRO MOURA (DOCENTE - Colaborador), THYAGO GONZAGA (DISCENTE - Colaborador), WEULER GOMES (DISCENTE - Colaborador);01/09/2018 a 31/12/2021
PI02358-2018;INSTITUTO DE MATEMATICA E ESTATISTICA;Um estudo sobre existência de sólitons para uma classe de problemas quaselineares;Ciências Exatas e da Terra - Matemática - Análise - Equações Diferenciais Parciais;Com Programa de Pós-graduação da UFG;não;CLAUDIANOR OLIVEIRA ALVES (EXTERNO - Colaborador), EDCARLOS DOMINGOS DA SILVA (DOCENTE - Colaborador), MARCOS LEANDRO MENDES CARVALHO (DOCENTE - Coordenador);01/04/2018 a 30/04/2022
PI02297-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;ALGORITMOS ON-LINE PARA DETECÇÃO DA UTILIZAÇÃO DE SISTEMAS DE TRANSPORTE;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação, Engenharias - Engenharia de Transportes - Planejamento de Transportes - Planejamento e Organização do Sistema de Transporte;Sem Vínculo (Projeto Isolado);não;KAMILLA CRUVINEL RODRIGUES (DISCENTE - Colaborador), MARCOS PAULINO RORIZ JUNIOR (DOCENTE - Coordenador), RONNY MARCELO ALIAGA MEDRANO (DOCENTE - Colaborador);01/03/2018 a 01/10/2022
PI02619-2018;FACULDADE DE MEDICINA;Avaliação da qualidade de vida em pecientes com capsulite adesiva submetidos a bloqueios do nervo supraescapular: ensaio clinico randomizado;Ciências da Saúde - Medicina - Cirurgia - Cirurgia Ortopédica;Com Programa de Pós-graduação da UFG;não;MARCOS RASSI FERNANDES (DOCENTE - Coordenador), NAYÁRA TÂMILLIS GONÇALVES DA CRUZ COSTA (EXTERNO - Colaborador);14/02/2018 a 14/02/2019
PI02622-2018;FACULDADE DE MEDICINA;CAPACIDADE FUNCIONAL EM PACIENTES COM CAPSULITE ADESIVA SUBMETIDOS A BLOQUEIOS DO NERVO SUPRAESCAPULAR: ENSAIO CLINICO RANDOMIZADO;Ciências da Saúde - Medicina - Cirurgia - Cirurgia Ortopédica;Com Programa de Pós-graduação da UFG;não;FREDERICO DE SOUZA CHAVEIRO (DISCENTE - Colaborador), LUÍS GUILHERME MAHAMED DAHER (DISCENTE - Colaborador), MARCOS RASSI FERNANDES (DOCENTE - Coordenador), PAULO VITOR MIRANDA MACEDO DE BRITO (DISCENTE - Colaborador);26/02/2018 a 26/02/2019
PI03518-2018;FACULDADE DE ODONTOLOGIA;INFLUÊNCIA DO TIPO DE SILICONE PARA MOLDAGEM E TÉCNICA RESTAURADORA NA DEFORMAÇÃO, RESISTÊNCIA À FRATURA, DISTRIBUIÇÃO DE TENSÕES E CARACTERÍSTICAS INTERFACIAIS EM MOLARES RESTAURADOS COM DIFERENTES COMPÓSITOS ;Ciências da Saúde - Odontologia - Materiais Odontológicos;Tipo de vínculo desconhecido;não;CRISNICAW VERISSIMO (DOCENTE - Colaborador), ERICA MIRANDA DE TORRES (DOCENTE - Colaborador), MARIA ALVES GARCIA SANTOS SILVA (DOCENTE - Coordenador), PAULO VICTOR DE MOURA COSTA (DISCENTE - Colaborador);17/09/2018 a 31/03/2020
PV02555-2018;FACULDADE DE ENFERMAGEM;Qualidade de vida dos integrantes do programa Saudavelmente UFG;Ciências da Saúde - Saúde Coletiva - Saúde Pública;Com Grupo de Pesquisa;não;FLAVIO HENRIQUE RODRIGUES DA SILVA (DISCENTE - Colaborador), KAREN AMANDA SOARES DE OLIVEIRA (DISCENTE - Colaborador), MARIA ALVES BARBOSA (EXTERNO - Vice-coodernador), MARIA AUXILIADORA CARMO MOREIRA (DOCENTE - Coordenador), WILLER CÂNDIDO DE MELO (DISCENTE - Colaborador);01/03/2018 a 01/08/2019
PI02864-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;AVALIAÇÃO DO CONHECIMENTO E DA IMPORTÂNCIA DA CAPACITAÇÃO EM BOAS PRÁTICAS DE HIGIENE DE MANIPULADORES DE ALIMENTOS DE CRECHES ESCOLAS DE UM MUNICÍPIO DE GOIÁS;Ciências Biológicas - Microbiologia - Microbiologia Aplicada, Ciências da Saúde - Nutrição;Com Programa de Pós-graduação da UFG;não;JULIANA LAMARO CARDOSO (DOCENTE - Colaborador), MARIA CLAUDIA DANTAS PORFIRIO BORGES (DOCENTE - Coordenador), SUWELLEN DE RESENDE MORAES (DISCENTE - Colaborador);01/09/2018 a 31/12/2020
PI02595-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;ESTUDO DA ESTRUTURA SUPERFICIAL DO ESMALTE DENTAL CANINO SUBMETIDO A DIFERENTES MÉTODOS DE POLIMENTO  ;Ciências Agrárias - Medicina Veterinária - Clínica e Cirurgia Animal - Clínica Cirúrgica Animal;Sem Vínculo (Projeto Isolado);não;CHRISTIE ERLEY TEIXEIRA DE OLIVEIRA (DISCENTE - Colaborador), KELLY CAROLINA ASSIS ARANTES (DISCENTE - Colaborador), MARIA CLORINDA SOARES FIORAVANTI (DOCENTE - Coordenador), NELCIMARA MIRLEY DE SOUZA CORREIA (DISCENTE - Colaborador), PATRICIA LORENA DA SILVA NEVES GUIMARAES (SERVIDOR - Vice-coodernador), SEVERIANA CANDIDA MENDONCA CUNHA CARNEIRO (SERVIDOR - Colaborador), TATIANE OLIVEIRA DOS SANTOS (SERVIDOR - Colaborador), THAIS ROSA DA SILVA (DISCENTE - Colaborador), VITOR EDUARDO ARANTES DE BARROS (DISCENTE - Colaborador);25/07/2018 a 31/07/2019
PI02740-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;PRODUÇÃO CIENTÍFICA: COLETAR PARA DIVULGAR;Ciências Sociais Aplicadas - Ciência da Informação - Teoria da Informação - Processos da Comunicação;Sem Vínculo (Projeto Isolado);não;CLAUDIA OLIVEIRA DE MOURA BUENO (SERVIDOR - Vice-coodernador), JAQUELINE TAKETSUGU ALVES DA SILVA (SERVIDOR - Colaborador), JÚLIO HEBER CAMARGO SILVA (DISCENTE - Colaborador), LILIANE JUVENCIA AZEVEDO FERREIRA (SERVIDOR - Colaborador), LUCIANA ALVES FERREIRA (SERVIDOR - Colaborador), MARIA CLORINDA SOARES FIORAVANTI (DOCENTE - Coordenador);01/07/2018 a 31/12/2021
PI02741-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;O PORTAL DE PERIÓDICOS DA UFG: SUSTENTABILIDADE E VISIBILIDADE    ;Ciências Sociais Aplicadas - Ciência da Informação - Biblioteconomia - Processos de Disseminação da Informação;Sem Vínculo (Projeto Isolado);não;MARIA CLORINDA SOARES FIORAVANTI (DOCENTE - Coordenador);01/07/2018 a 31/12/2021
PI02994-2018;UAE REJ CIÊNCIAS SOCIAIS APLICADAS;"Apontamentos sobre a perspectiva Gramsciana acerca da educação EAD""";Ciências Humanas - Sociologia - Sociologia do Conhecimento;Sem Vínculo (Projeto Isolado);não;MARIA CRISTINA CARDOSO PEREIRA (DOCENTE - Coordenador);22/11/2018 a 31/12/2019
PI02164-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Ocorrência de candidíase orofaríngea e candidemia em indivíduos atendidos em hospital de referência de Goiânia-GO;Ciências Biológicas - Microbiologia - Microbiologia Aplicada - Microbiologia Médica;Com Programa de Pós-graduação da UFG;não;ANA LAURA DE SENE AMÂNCIO ZARA (EXTERNO - Colaborador), ANDRESSA SANTANA SANTOS (DISCENTE - Colaborador), BENEDITO RODRIGUES DA SILVA NETO (DOCENTE - Colaborador), CAROLINA RODRIGUES COSTA (DOCENTE - Colaborador), CÁSSIA SILVA DE MIRANDA GODOY (EXTERNO - Colaborador), FABIO SILVESTRE ATAIDES (EXTERNO - Colaborador), MARIA DO ROSARIO RODRIGUES SILVA (DOCENTE - Coordenador), VIVIANNY APARECIDA QUEIROZ FREITAS (DISCENTE - Colaborador);05/03/2018 a 25/12/2021
PI02673-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Bioinformática estrutural aplicada à estudos de descoberta de novos agentes antifúngicos;Ciências Biológicas - Microbiologia - Microbiologia Aplicada - Microbiologia Médica;Com Programa de Pós-graduação da UFG;não;ANDRESSA SANTANA SANTOS (DISCENTE - Colaborador), BENEDITO RODRIGUES DA SILVA NETO (DOCENTE - Vice-coodernador), BRUNA OLIVEIRA ANDRADE (DISCENTE - Colaborador), CAROLINA RODRIGUES COSTA (DOCENTE - Colaborador), LARISSA CRYSTHINE AGUIAR BRASIL (DISCENTE - Colaborador), LUCAS VAZ PEIXOTO (DISCENTE - Colaborador), MARIA DO ROSARIO RODRIGUES SILVA (DOCENTE - Coordenador), MATHEUS FERREIRA GONÇALVES (DISCENTE - Colaborador), STEPHANIE DE PAULA GARCIA (EXTERNO - Colaborador), VIVIANNY APARECIDA QUEIROZ FREITAS (DISCENTE - Colaborador);03/08/2018 a 31/07/2019
PI02685-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Mecanismos de resistência de espécies de Candida aos derivados azólicos ;Ciências Biológicas - Microbiologia - Biologia e Fisiologia dos Microorganismos - Micologia;Com Programa de Pós-graduação da UFG;não;ANA LAURA DE SENE AMÂNCIO ZARA (EXTERNO - Colaborador), ANDRESSA SANTANA SANTOS (DISCENTE - Colaborador), BENEDITO RODRIGUES DA SILVA NETO (DOCENTE - Vice-coodernador), CAROLINA RODRIGUES COSTA (DOCENTE - Colaborador), FABIO SILVESTRE ATAIDES (EXTERNO - Colaborador), HILDENE MENESES E SILVA (SERVIDOR - Colaborador), MARIA DO ROSARIO RODRIGUES SILVA (DOCENTE - Coordenador), THAÍSA CRISTINA SILVA (EXTERNO - Colaborador), VIVIANNY APARECIDA QUEIROZ FREITAS (DISCENTE - Colaborador);05/03/2018 a 31/12/2021
PI03218-2018;FACULDADE DE MEDICINA;Causas de Baixa Estatura em Pacientes Atendidos no Ambulatório de Endocrinologia Pediátrica do Hospital das Clínicas-UFG  ;Ciências da Saúde - Medicina - Saúde Materno-Infantil;Sem Vínculo (Projeto Isolado);não;MARIA IVONE OLIVEIRA PINTO VILELA (DOCENTE - Coordenador), MICHELLE KAREN CARDOSO CARVALHO (DISCENTE - Colaborador), NATÁLIA ANDRADE MENDONÇA (DISCENTE - Colaborador), VICTOR HUGO NETTO DE MELLO FERREIRA (DISCENTE - Colaborador);20/12/2018 a 20/12/2021
PI03219-2018;FACULDADE DE MEDICINA;Avaliação nutricional de escolares atendidos no ambulatório de pediatria do Hospital das Clínicas da Universidade Federal de Goiás;Ciências da Saúde - Medicina - Saúde Materno-Infantil;Sem Vínculo (Projeto Isolado);não;MARCELA BATISTA SOARES (DISCENTE - Colaborador), MARIA IVONE OLIVEIRA PINTO VILELA (DOCENTE - Coordenador), MARLON FERNANDO BATISTA SILVA (DISCENTE - Colaborador), PÂMELLA MICAELLA ARAÚJO PINTO (DISCENTE - Colaborador);20/12/2018 a 20/12/2021
PI02974-2018;FACULDADE DE EDUCACAO;Tecnologias de si na formação em pedagogia: uma cartografia dos sujeitos;Ciências Humanas - Sociologia - Outras Sociologias Específicas;Tipo de vínculo desconhecido;não;MARIA IZABEL MACHADO (DOCENTE - Coordenador);01/11/2018 a 30/12/2022
PI03556-2018;UAE REJ ESTUDOS GEOGRÁFICOS;O LUGAR E A IDENTIDADE DOS SUJEITOS: uma análise do setor central de Jataí (GO);Ciências Humanas - Geografia - Geografia Humana - Geografia Urbana;Tipo de vínculo desconhecido;não;MARIA JOSE RODRIGUES (DOCENTE - Coordenador), PRISCILA BRAGA PAIVA (DISCENTE - Colaborador);10/03/2018 a 31/12/2021
PI02445-2018;ESCOLA DE ENGENHARIA ELÉTRICA, MECANICA E DE COMPUTACAO;Avaliação dos Diferentes e Comumente Algoritmos de Proteção Empregados nos Equipamentos Integrantes dos Sistemas Elétricos de Potência;Engenharias - Engenharia Elétrica - Sistemas Elétricos de Potência - Medição, Controle, Correção e Proteção de Sistemas Elétricos  de Potência;Com Programa de Pós-graduação da UFG;não;GEYVERSON TEIXEIRA DE PAULA (DOCENTE - Colaborador), JAN AUGUSTO ROCHA RIBEIRO (DISCENTE - Colaborador), LINA PAOLA GARCES NEGRETE (DOCENTE - Colaborador), MARIA LEONOR SILVA DE ALMEIDA (DOCENTE - Coordenador), YAN FIGUEIREDO ANDRADE (DISCENTE - Colaborador);19/04/2018 a 19/04/2023
PI02717-2018;FACULDADE DE NUTRICAO;AVALIAÇÃO DE INDICADORES DA QUALIDADE NA TERAPIA NUTRICIONAL ENTERAL DO CENTRO DE REABILITAÇÃO E READAPTAÇÃO DR. HENRIQUE SANTILO- CRER-GO;Ciências da Saúde - Nutrição - Dietética;Sem Vínculo (Projeto Isolado);não;IEDA CRISTINA DA SILVA FAZANI (DISCENTE - Colaborador), MARIA LUIZA FERREIRA STRINGHINI (DOCENTE - Coordenador);21/05/2018 a 29/03/2019
PI02518-2018;FACULDADE DE NUTRICAO;RESÍDUOS DO PROCESSAMENTO DE FRUTOS DO CERRADO:   POTENCIAL NUTRICIONAL, PREBIÓTICO E PREVENTIVO DE DOENÇAS CRÔNICAS   ;Ciências da Saúde - Nutrição, Ciências Agrárias - Ciência e Tecnologia de Alimentos - Ciência de Alimentos;Com Programa de Pós-graduação da UFG;não;ALINE MEDEIROS ALVES SANTOS (SERVIDOR - Colaborador), ANA PAULA TEREZAN (EXTERNO - Colaborador), CAMILLA ALVES PEREIRA RODRIGUES (SERVIDOR - Colaborador), CECILIA MARIA ALVES DE OLIVEIRA (DOCENTE - Colaborador), CLARA SANDRA DE ARAUJO SUGIZAKI (DISCENTE - Colaborador), EVANDRO LEITE DE SOUZA (EXTERNO - Colaborador), GLAUCIA CARIELO LIMA (DOCENTE - Colaborador), GRACIELE LORENZONI NUNES (EXTERNO - Colaborador), ISABELLA JANINE DE ANDRADE (DISCENTE - Colaborador), JOHN LENNON VASQUES DOS REIS (DISCENTE - Colaborador), LIANA JAYME BORGES (DOCENTE - Colaborador), MARIA MARGARETH VELOSO NAVES (DOCENTE - Coordenador), MONIK MARIELE DE ALMEIDA SILVA (DISCENTE - Colaborador), PATRICIA AMARAL SOUZA TETTE (DOCENTE - Colaborador);01/01/2018 a 31/12/2023
PI03325-2018;CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO;Educação escolar e individualidade: fundamentos estéticos da pedagogia histórico-crítica;Ciências Humanas - Educação - Fundamentos da Educação - Filosofia da Educação;Sem Vínculo (Projeto Isolado);não;MARIANA DE CASSIA ASSUMPCAO (DOCENTE - Coordenador);01/11/2018 a 30/06/2021
